name	type	units	sampling_frequency	status
Fp1	eeg	µV	1024	good
AF7	eeg	µV	1024	good
AF3	eeg	µV	1024	good
F1	eeg	µV	1024	good
F3	eeg	µV	1024	good
F5	eeg	µV	1024	good
F7	eeg	µV	1024	good
FT7	eeg	µV	1024	good
FC5	eeg	µV	1024	good
FC3	eeg	µV	1024	good
FC1	eeg	µV	1024	good
C1	eeg	µV	1024	good
C3	eeg	µV	1024	good
C5	eeg	µV	1024	good
T7	eeg	µV	1024	good
TP7	eeg	µV	1024	good
CP5	eeg	µV	1024	good
CP3	eeg	µV	1024	good
CP1	eeg	µV	1024	good
P1	eeg	µV	1024	good
P3	eeg	µV	1024	good
P5	eeg	µV	1024	good
P7	eeg	µV	1024	good
P9	eeg	µV	1024	good
PO7	eeg	µV	1024	good
PO3	eeg	µV	1024	good
O1	eeg	µV	1024	good
Iz	eeg	µV	1024	good
Oz	eeg	µV	1024	good
POz	eeg	µV	1024	good
Pz	eeg	µV	1024	good
CPz	eeg	µV	1024	good
Fpz	eeg	µV	1024	good
Fp2	eeg	µV	1024	good
AF8	eeg	µV	1024	good
AF4	eeg	µV	1024	good
AFz	eeg	µV	1024	good
Fz	eeg	µV	1024	good
F2	eeg	µV	1024	good
F4	eeg	µV	1024	good
F6	eeg	µV	1024	good
F8	eeg	µV	1024	good
FT8	eeg	µV	1024	good
FC6	eeg	µV	1024	good
FC4	eeg	µV	1024	good
FC2	eeg	µV	1024	good
FCz	eeg	µV	1024	good
Cz	eeg	µV	1024	good
C2	eeg	µV	1024	good
C4	eeg	µV	1024	good
C6	eeg	µV	1024	good
T8	eeg	µV	1024	good
TP8	eeg	µV	1024	good
CP6	eeg	µV	1024	good
CP4	eeg	µV	1024	good
CP2	eeg	µV	1024	good
P2	eeg	µV	1024	good
P4	eeg	µV	1024	good
P6	eeg	µV	1024	good
P8	eeg	µV	1024	good
P10	eeg	µV	1024	good
PO8	eeg	µV	1024	good
PO4	eeg	µV	1024	good
O2	eeg	µV	1024	good
