M1,M2,M5,M6,M7,M8,M9,M10,M13,M14,M15,M16,M17,M18,M21,M22,M23,M24,M25,M26,M29,M30,M31,M32,M33,M34,M37,M38,M39,M40,M41,M42,M45,M46,M47,M48,M49,M50,M53,M54,M55,M56,M57,M58,M61,M62,M63,M64,M65,M66,M69,M70,M71,M72,M73,M74,M77,M78,M79,M80,M81,M82,M85,M86,M87,M88,M89,M90,M93,M94,M95,M96,M97,M98,M101,M102,M103,M104,M105,M106,M109,M110,M111,M112,M113,M114,M117,M118,M119,M120,M121,M122,M125,M126,M127,M128,M129,M130,M133,M134,M135,M136,M137,M138,M141,M142,M143,M144,M145,M146,M149,M150,M151,M152,M153,M154,M157,M158,M159,M160,M161,M162,M165,M166,M167,M168,M169,M170,M173,M174,M175,M176,P1,P2,P5,P6,P7,P8,P9,P10,P13,P14,P15,P16,P17,P18,P21,P22,P23,P24,P25,P26,P29,P30,P31,P32,P33,P34,P37,P38,P39,P40,P41,P42,P45,P46,P47,P48,P49,P50,P53,P54,P55,P56,P57,P58,P61,P62,P63,P64,P65,P66,P69,P70,P71,P72,P73,P74,P77,P78,P79,P80,P81,P82,P85,P86,P87,P88,P89,P90,P93,P94,P95,P96,P97,P98,P101,P102,P103,P104,P105,P106,P109,P110,P111,P112,P113,P114,P117,P118,P119,P120,P121,P122,P125,P126,P127,P128,P129,P130,P133,P134,P135,P136,P137,P138,P141,P142,P143,P144,P145,P146,P149,P150,P151,P152,P153,P154,P157,P158,P159,P160,P161,P162,P165,P166,P167,P168,P169,P170,P173,P174,P175,P176,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182396492,0,0,0,0,0,0.156440359,0,0,0,0,0,0.133615908,0,0,0,0,0,0.180776834,0,0,0,0,0,0.033737541,0,0,0,0,0,0.090248721,0,0,0,0,0,0.032889917,0,0,0,0,0,0.085977483,0,0,0,0,0,0.023247738,0,0,0,0,0,0.03270125,0,0,0,0,0,0.019645302,0,0,0,0,0,0.055936281,0,0,0,0,0,0,0,0,0,0,0,0.014557414,0,0,0,0,0,0.03343692,0,0,0,0,0,0.035524271,0,0,0,0,0,0.182306572,0,0,0,0,0,0.067772556,0,0,0,0,0,0.297270637,0,0,0,0,0,0.402701048,0,0,0,0,0,0.094322155,0,0,0,0,0,0.099017195,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047679622,0,0,0,0,0,0.019169295,0,0,0,0,0,0.130787546,0,0,0,0,0,0.078305312,0,0,0,0,0,0.232581075,0,0,0,0,0,0.195975151,0,0,0,0,0,0.073453961,0,0,0,0,0,0.016654587,0,0,0,0,0,0.116236881,0,0,0,0,0,0.022569583,0,0,0,0,0,0.066888455,0,0,0,0,0,0.033105471,0,0,0,0,0,0.039018422,0,0,0,0,0,0.006382712,0,0,0,0,0,0.167037782,0,0,0,0,0,0.067235929,0,0,0,0,0,0.083663732,0,0,0,0,0,0.021668842,0,0,0,0,0,0.188739753,0,0,0,0,0,0.189874191,0,0,0,0,0,0.451245916,0,0,0,0,0,0.469780302,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092040074,0,0,0,0,0,0.027854565,0,0,0,0,0,0.20405517,0,0,0,0,0,0.177921652,0,0,0,0,0,0.150589006,0,0,0,0,0,0.174679791,0,0,0,0,0,0.129810577,0,0,0,0,0,0.085095082,0,0,0,0,0,0.087402478,0,0,0,0,0,0.057760022,0,0,0,0,0,0.103561323,0,0,0,0,0,0.049636455,0,0,0,0,0,0.058139414,0,0,0,0,0,0.036299006,0,0,0,0,0,0.142764328,0,0,0,0,0,0.117324291,0,0,0,0,0,0.089848447,0,0,0,0,0,0.020775048,0,0,0,0,0,0.242190564,0,0,0,0,0,0.247077609,0,0,0,0,0,0.322143726,0,0,0,0,0,0.244934793,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004738599,0,0,0,0,0,0.002941313,0,0,0,0,0,0.024386521,0,0,0,0,0,0.019666433,0,0,0,0,0,0.215256987,0,0,0,0,0,0.238009058,0,0,0,0,0,0.005549603,0,0,0,0,0,0.00898026,0,0,0,0,0,0.151887439,0,0,0,0,0,0.080311356,0,0,0,0,0,0.022987191,0,0,0,0,0,0.021303273,0,0,0,0,0,0.024186852,0,0,0,0,0,0.011304137,0,0,0,0,0,0.176368429,0,0,0,0,0,0.131507378,0,0,0,0,0,0.019047108,0,0,0,0,0,0.013766081,0,0,0,0,0,0.010476089,0,0,0,0,0,0.004824131,0,0,0,0,0,0.238061832,0,0,0,0,0,0.214110512,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043171684,0,0,0,0,0,0.004141804,0,0,0,0,0,0.119836333,0,0,0,0,0,0.074863214,0,0,0,0,0,0.266091125,0,0,0,0,0,0.220623843,0,0,0,0,0,0.066226897,0,0,0,0,0,0.023175234,0,0,0,0,0,0.127712745,0,0,0,0,0,0.049153831,0,0,0,0,0,0.109071679,0,0,0,0,0,0.015042135,0,0,0,0,0,0.051646145,0,0,0,0,0,0.01143243,0,0,0,0,0,0.194823325,0,0,0,0,0,0.110265928,0,0,0,0,0,0.127226231,0,0,0,0,0,0.006070985,0,0,0,0,0,0.114468924,0,0,0,0,0,0.109920045,0,0,0,0,0,0.454176491,0,0,0,0,0,0.403485664,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34836124,0,0,0,0,0,0.318521763,0,0,0,0,0,0.343273223,0,0,0,0,0,0.279685236,0,0,0,0,0,0.392064678,0,0,0,0,0,0.417628319,0,0,0,0,0,0.300682193,0,0,0,0,0,0.236303408,0,0,0,0,0,0.412825874,0,0,0,0,0,0.323989506,0,0,0,0,0,0.243559969,0,0,0,0,0,0.261061857,0,0,0,0,0,0.242712533,0,0,0,0,0,0.262006501,0,0,0,0,0,0.325538212,0,0,0,0,0,0.469961812,0,0,0,0,0,0.200343457,0,0,0,0,0,0.252722503,0,0,0,0,0,0.267958568,0,0,0,0,0,0.35750173,0,0,0,0,0,0.622188426,0,0,0,0,0,0.480818867,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316008832,0,0,0,0,0,0.232346911,0,0,0,0,0,0.235390314,0,0,0,0,0,0.269717255,0,0,0,0,0,0.320267993,0,0,0,0,0,0.283836551,0,0,0,0,0,0.224679939,0,0,0,0,0,0.201097565,0,0,0,0,0,0.344594861,0,0,0,0,0,0.242565073,0,0,0,0,0,0.252226128,0,0,0,0,0,0.19380699,0,0,0,0,0,0.188762939,0,0,0,0,0,0.201965682,0,0,0,0,0,0.316096949,0,0,0,0,0,0.386063063,0,0,0,0,0,0.211105091,0,0,0,0,0,0.247054558,0,0,0,0,0,0.253060832,0,0,0,0,0,0.280478008,0,0,0,0,0,0.443207921,0,0,0,0,0,0.314894264,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022042073,0,0,0,0,0,0.005549719,0,0,0,0,0,0.046249835,0,0,0,0,0,0.054142326,0,0,0,0,0,0.210533601,0,0,0,0,0,0.288804054,0,0,0,0,0,0.004378035,0,0,0,0,0,0.011972845,0,0,0,0,0,0.082954379,0,0,0,0,0,0.058757127,0,0,0,0,0,0.060189903,0,0,0,0,0,0.018918337,0,0,0,0,0,0.018343874,0,0,0,0,0,0.013169066,0,0,0,0,0,0.162640567,0,0,0,0,0,0.142945138,0,0,0,0,0,0.06197092,0,0,0,0,0,0.018712145,0,0,0,0,0,0.105319942,0,0,0,0,0,0.121303314,0,0,0,0,0,0.517110881,0,0,0,0,0,0.397961918,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018131451,0,0,0,0,0,0.001687403,0,0,0,0,0,0.072202556,0,0,0,0,0,0.034720799,0,0,0,0,0,0.288826582,0,0,0,0,0,0.27553516,0,0,0,0,0,0.041514667,0,0,0,0,0,0.003610946,0,0,0,0,0,0.194355374,0,0,0,0,0,0.06260249,0,0,0,0,0,0.08547616,0,0,0,0,0,0.005776171,0,0,0,0,0,0.05794479,0,0,0,0,0,0.001472008,0,0,0,0,0,0.24077287,0,0,0,0,0,0.118803782,0,0,0,0,0,0.110838914,0,0,0,0,0,0.007583623,0,0,0,0,0,0.04665059,0,0,0,0,0,0.046005696,0,0,0,0,0,0.398474511,0,0,0,0,0,0.434559488,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125730928,0,0,0,0,0,0.053605382,0,0,0,0,0,0.253473151,0,0,0,0,0,0.16244334,0,0,0,0,0,0.196370009,0,0,0,0,0,0.153996798,0,0,0,0,0,0.200557162,0,0,0,0,0,0.04382953,0,0,0,0,0,0.107376013,0,0,0,0,0,0.025721631,0,0,0,0,0,0.145595703,0,0,0,0,0,0.032459726,0,0,0,0,0,0.108785827,0,0,0,0,0,0.011841341,0,0,0,0,0,0.164558832,0,0,0,0,0,0.077652095,0,0,0,0,0,0.123575959,0,0,0,0,0,0.026479677,0,0,0,0,0,0.352117223,0,0,0,0,0,0.373878896,0,0,0,0,0,0.414884468,0,0,0,0,0,0.368759923,0,0,0,0,0,0
